name,address,rating,review_count
GeA Gelateria Artigianale,"Rue Enning 8, 1003 Lausanne",,0
Holy Cow! Gourmet Burger Co. LAUSANNE EPFL,"Route Louis-Favre, 1024 Ecublens (VD)",,0
Holy Monkey,"Rue Cité-Devant 6, 1005 Lausanne",,0
il Ghiotto - GESCHLOSSEN,"Rue Cité-Devant 6, 1005 Lausanne",,0
Indian zayeka,"Route de Chavannes 8, 1007 Lausanne",,0
INGLEWOOD - Saint-Laurent,"Rue Saint-Laurent 14, 1003 Lausanne",,0
Iris Café-Restaurant-Bar,"Avenue de France 18A, 1004 Lausanne",,0
Iskender Kebab et Pâtes,"Rue Marterey 33, 1005 Lausanne",,0
Istanbul Grill and More - Place de la Sallaz,"Place de la Sallaz 3, 1010 Lausanne",,0
Jardin Gourmand,"Route du Jorat 80, 1000 Lausanne",,0
Jetée de la Compagnie,1007 Lausanne,,0
"KAMASUTRA, Thangaraja Sivaraja","rue du Valentin 23, 1004 Lausanne",,0
L'arrosoir,"Rue Centrale 23, 1003 Lausanne",,0
L'Assise,"Avenue de Cour 103, 1007 Lausanne",,0
l'Esquisse,"Route du Signal 2B, 1018 Lausanne",,0
L'Etoile Blanche,"Place Benjamin-Constant 2, 1003 Lausanne",,0
L'or des Incas,"Avenue Alexandre-Vinet 24, 1004 Lausanne",,0
L'union des Saveurs,"Rue de la Barre 6, 1005 Lausanne",,0
La Brasserie Belleville,"Rue de Genève 21, 1003 Lausanne",,0
La Brasserie de l'Unithèque,"Avenue de l'Université, 1005 Lausanne",,0
La Brasserie du Royal,"Avenue d'Ouchy 40, 1006 Lausanne",,0
la Bruschetta,"Avenue de la Gare 20, 1003 Lausanne",,0
La Casa Nostra by MGM,"Rue du Lac 10, 1007 Lausanne",,0
La Galette - Restaurant,"Rue Louis-Curtat 13, 1005 Lausanne",,0
la Jonque,"Avenue de Cour 15, 1007 Lausanne",4.0,7
La Mosaique,"Avenue d'Ouchy 70, 1006 Lausanne",,0
La Pergola,"Chemin des Allinges 10, 1006 Lausanne",,0
La Sosta,"Route du Châtelard 56, 1018 Lausanne",,0
La Table de Vallotton,"Bâtiment EPFL Innovation Park, 1015 Lausanne",,0
La Terrasse du Beau-Rivage Palace,"Place du Port 11, 1006 Lausanne",,0
LABO Gelateria,"Avenue de Chailly 1B, 1012 Lausanne",,0
lauraworld catering O'Centre du goût,"Chemin du Chalet-de-Praroman 12, 1000 Lausanne 25",,0
Le Barock,"Rue du Port-Franc 11, 1003 Lausanne",,0
Le Berceau des Sens,"Route de Cojonnex 18, 1000 Lausanne 25",,0
Le Boccalino - Lausanne,"Avenue d'Ouchy 76, 1006 Lausanne",4.3,16
Le Bruxelles Cafe,"Place de la Riponne 1, 1005 Lausanne",,0
Le Central Lausanne,"Rue Centrale 5, 1003 Lausanne",,0
Le Ciao,"avenue de Rhodanie 4, 1007 Lausanne",,0
Le Duo Thaï & Sushi,"Rue Mathurin-Cordier 13, 1005 Lausanne",4.6,12
Le Lobby Lounge - Beau-Rivage Palace,"Place du Port 17, 1006 Lausanne",,0
Le Nabi,"Place de la Gare 16, 1003 Lausanne",,0
le National,"Rue Neuve 13, 1003 Lausanne",,0
Le Nil Bleu,"Avenue Villamont 17, 1005 Lausanne",,0
Le P'tit Vidy,"Avenue de Montoie 53, 1007 Lausanne",,0
Le Pointu,"Rue Neuve 2, 1003 Lausanne",,0
Le Pont (Madras),"Avenue de Chailly 3, 1012 Lausanne",,0
Le Sky Lounge - Hôtel Royal Savoy,"Avenue d'Ouchy 40, 1006 Lausanne",,0
Le Spot,"Rue du Midi 12, 1003 Lausanne",,0
Le Vaudois SA,"Place de la Riponne 1, 1005 Lausanne",,0
Le Vestibule,"Rue Cité-Devant 4, 1005 Lausanne",,0
Leonardo Mangi Sano Vivi Bene,"Voie du Chariot 6, 1003 Lausanne",4.1,21
Les Bosquets,"Avenue d'Echallens 54, 1004 Lausanne",,0
Les Escapades Gourmandes,"Chemin de Rovéréaz 23, 1012 Lausanne",,0
Les Jardins De Pam,"Rue Côtes-de-Montbenon 20, 1003 Lausanne",,0
Les Rues de Saigon Sàrl,"Rue du Bugnon 24, 1005 Lausanne",,0
Liggs Pasta,"Rue du Midi 2, 1003 Lausanne",,0
Lily,"Rue Chaucrau 10, 1003 Lausanne",,0
Liny,"Rue du Port-Franc 8, 1003 Lausanne",,0
Little Persia,"Avenue Louis-Ruchonnet 7, 1003 Lausanne",,0
Logo du marchand Thai Square,"Avenue de Chailly 52, 1012 Lausanne",,0
Longhorn,"Rue Saint-Pierre 3, 1003 Lausanne",,0
loom - gelateria 1900,"Boulevard de Grancy 45, 1006 Lausanne",,0
Lucha Libre,"Place de l'Ours 1, 1005 Lausanne",,0
Luna,"Place du Tunnel 5, 1005 Lausanne",,0
Luncheonette Cafe,"Rue Grand-Saint-Jean 5, 1003 Lausanne",,0
Mad Cafe,"Rue de Genève 23, 1003 Lausanne",,0
Madame Noï Saveurs de Thaïlande du Léman,"Avenue du Léman 73, 1005 Lausanne",,0
Maharaja Restaurant,"Avenue Bergières 20, 1004 Lausanne",,0
Mangiobevo,"Avenue de France 68, 1004 Lausanne",,0
McDonald's Restaurant,"Rue de Bourg 47, 1003 Lausanne",,0
Miyako,"Place du Port 17, 1006 Lausanne",,0
Mizumiy,"Rue du Grand-Pont 8, 1003 Lausanne",,0
Montreux Jazz Cafe,"Bâtiment EPFL Innovation Park, 1015 Lausanne",,0
Neko Sushi,"Avenue de Cour 38A, 1007 Lausanne",,0
Nomade,"Place de l'Europe 9, 1003 Lausanne",,0
O'SAFRAN,"Chemin du Reposoir 24, 1007 Lausanne",,0
ONIWA Sàrl,"Avenue de Tivoli 8, 1007 Lausanne",,0
P'tit Resto,"Place de l'Europe, 1003 Lausanne",,0
Pasta e Sfizi,"Avenue d'Ouchy 3, 1006 Lausanne",,0
Pavillon Bar & Kitchen,"Place de la Riponne 10, 1005 Lausanne",,0
Pida Bar,"Rue de la Louve 12, 1003 Lausanne",,0
Pinte Du Lac de Sauvabelin,"Chemin des Celtes 1, 1018 Lausanne",,0
Planet Bowl,"Boulevard de Grancy 58, 1006 Lausanne",,0
Pomodoro della Nonna,"Rue Louis-Curtat 6, 1005 Lausanne",,0
Popers,"Place Grand-St-Jean, 1003 Lausanne",,0
Qui Résiste,"Rue Saint-Laurent 38, 1003 Lausanne",,0
Ragoût Délices,"Rue Saint-Roch 4, 1004 Lausanne",,0
Restaurant Atlantic,"avenue du Chablais, 1007 Lausanne",,0
Restaurant Da Nino,"Dorigny, 1015 Ecublens",,0
Restaurant Golden India,"Avenue du Tribunal-Fédéral 1, 1005 Lausanne",,0
Restaurant Italien Ulivo,"Chemin de Couvaloup 13, 1005 Lausanne",,0
Restaurant L'Echo Sàrl,"Rue de Bourg 13, 1003 Lausanne",,0
Restaurant l'Etoile,"Rue de Genève 102, 1004 Lausanne",4.8,14
Restaurant Le Chalet Suisse,"Route du Signal 40, 1018 Lausanne",,0
Restaurant le Jardin Thaï - Hôtel Alpha-Palmiers,"Rue du Petit-Chêne 34, 1003 Lausanne",,0
Restaurant le Piranha,"Route de Berne 144, 1010 Lausanne",,0
Restaurant Le Vieux-Lausanne,"Rue Pierre-Viret 6, 1003 Lausanne",,0
Restaurant Perbacco & Bottega,"Rue du Flon 12, 1003 Lausanne",4.7,3
Restaurant Zhiwei,"Avenue du Léman 19, 1005 Lausanne",,0
Ristorante La Molisana,"Avenue de Tivoli 68, 1007 Lausanne",,0
Rue Enning,"Rue Enning 2, 1003 Lausanne",,0
Rumah,"Chemin Antoine-de-Chandieu 12, 1006 Lausanne",,0
Sabaidee Thai-Vieng,"Rue du Bugnon 24, 1005 Lausanne",,0
Saveurs d'Ailleurs,"Avenue d'Ouchy 67, 1006 Lausanne",,0
Sedef Pâtisserie,"Galeries Benjamin-Constant 1, 1003 Lausanne",,0
shangrila-epfl,1015 Lausanne,4.4,44
Showtime Food,"Rue du Maupas 87, 1004 Lausanne",,0
Sidewalk Café,"Place du Tunnel 9, 1005 Lausanne",,0
Slice Pizza,"Rue du Valentin 23, 1004 Lausanne",,0
Snack De La Gare,"Avenue Louis-Ruchonnet 9, 1003 Lausanne",,0
Sushizen,1015 Ecublens,,0
Sushizen,1015 Lausanne,,0
SUSHIZEN Epalinges,"Avenue des Boveresses 56, 1010 Lausanne",,0
SUSHIZEN Etraz,"Avenue des Boveresses 56, 1010 Lausanne",,0
SUSHIZEN Flon,"Avenue des Boveresses 56, 1010 Lausanne",,0
Swiss Wine Bar,"Rue Caroline 5, 1003 Lausanne",,0
TACO'S BAR SA,"Rue de Genève 17, 1003 Lausanne",,0
takasan asia fusion restaurant,"Avenue du Théâtre 7, 1005 Lausanne",,0
Tanoshii,"Place de la Riponne, 1005 Lausanne",,0
Taolé Table Libanaise,"Avenue du Théâtre 1, 1005 Lausanne",,0
Tartares & Co Lausanne,"Rue de Genève 7, 1003 Lausanne",,0
Tayta,"Avenue du Tribunal-Fédéral 2, 1005 Lausanne",,0
That's Amore,"Avenue de la Vallonnette 24, 1012 Lausanne",,0
The Coffee Project,"Rue du Grand-Pont 4, 1003 Lausanne",,0
The Garden Restaurant Lausanne,"Route de Berne 144, 1010 Lausanne",,0
The Pancakes Mafia,"Rue des Terreaux 4, 1003 Lausanne",,0
The Place 2B - Besame Mucho,"Avenue Emile-Henri-Jaques-Dalcroze 9, 1007 Lausanne",,0
Tiki Taka Bar Restaurant,"Avenue des Oiseaux 2, 1018 Lausanne",,0
"TRiSHul Café-Restaurant Indien, S. Debnath","Chemin des Faverges 17, 1006 Lausanne",,0
VaSano Ristorante Lausanne,"Place de la Gare 4, 1003 Lausanne",,0
Veganopolis Cafe,"Avenue des Bains 4C, 1007 Lausanne",,0
Végé Café,"Chemin des Rosiers 2, 1004 Lausanne",,0
Vertigo By Anna,"Avenue des Bains 4a, 1007 Lausanne",,0
Viita Food,"Place Chauderon 18, 1003 Lausanne",,0
Votra Sàrl,"Chemin Isabelle-de-Montolieu 113, 1010 Lausanne",,0
Wawa's Asian Kitchen,"Rue du Port-Franc 8, 1003 Lausanne",,0
"We Love Italy, Pasta Pizza & Piadina, Lausanne","Rue Marterey 4, 1005 Lausanne",,0
Xpresso Cafe,"Rue des Terreaux 23, 1003 Lausanne",,0
